结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,用户实付,收入合计,平台服务费,佣金,渠道分成,招商服务费,直播间站外推广,其他分成,其他分成说明,支出合计,备注
 , , ,收入+支出, , , , , , , , ,商品总价+运费, , , ,退给用户的货款+运费+退补贴, , , , , ,用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴,'-(用户实付+平台补贴+达人补贴)*费率,'-(用户实付-运费+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴)*费率, , , ,除“佣金、渠道分成、招商服务费、直播间站外推广”等账单中已分列展示之外的分成项目, ,平台服务费+达人佣金+渠道分成+招商服务费+直播站外推广+其他分成, 
2022-09-28 00:49:07,'4974414934502890943,'4974414934502890943,132.05,微信,已结算,否,2022-09-04 19:38:54,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-28 02:21:52,'4978845816033343297,'4978845816033343297,132.05,微信,已结算,否,2022-09-16 18:16:18,'3566019747638342501,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-28 16:20:09,'4972930314625697033,'4972930314625697033,132.05,聚合账户,已结算,否,2022-08-31 19:38:06,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-28 16:18:23,'4969945260820192528,'4969945260820192528,65.55,聚合账户,已结算,否,2022-08-23 18:41:19,'3562792515713237221,1,精选联盟,普通订单,69,69,0,0,0,0,0,0.02,0,68.98,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-28 16:18:13,'4977364546243323797,'4977364546243323797,132.05,聚合账户,已结算,否,2022-09-12 18:30:16,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0.5,138.5,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-28 19:12:38,'4977377787622377006,'4977377787622377006,132.05,聚合账户,已结算,否,2022-09-12 19:18:05,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.03,138.97,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-28 19:12:38,'4978482775332441185,'4978482775332441185,132.05,聚合账户,已结算,否,2022-09-15 18:47:10,'3566019747638342501,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.03,138.97,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-28 19:12:37,'4978484678013994856,'4978484678013994856,132.05,聚合账户,已结算,否,2022-09-15 18:54:23,'3566019747638342501,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-28 19:12:09,'4979227007266753906,'4979227007266753906,132.05,聚合账户,已结算,否,2022-09-17 18:55:38,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.05,0,138.95,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 02:00:20,'4979226908481484526,'4979226908481484526,132.05,微信,已结算,否,2022-09-17 18:56:14,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 02:04:09,'4978111445357209544,'4978111445357209544,141.55,微信,已结算,否,2022-09-14 18:48:24,'3569537424679927567,1,鲁班广告,普通订单,149,149,0,0,0,0,0,0,0,149,149,-7.45,0,0,0,0,0,,-7.45,
2022-09-29 03:38:40,'4979221221945378185,'4979221221945378185,132.05,微信,已结算,否,2022-09-17 18:35:27,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 03:38:29,'4979216085163550418,'4979216085163550418,132.05,微信,已结算,否,2022-09-17 18:12:44,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 12:18:50,'4980330594816580878,'4980330594816580878,132.05,聚合账户,已结算,否,2022-09-20 18:17:58,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 12:18:38,'4979966347237240397,'4979966347237240397,132.05,聚合账户,已结算,否,2022-09-19 18:43:12,'3566418879083380207,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.02,0,138.98,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 15:39:59,'4979962559078184268,'4979962559078184268,132.05,聚合账户,已结算,否,2022-09-19 18:31:19,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 15:36:56,'4979219997878244882,'4979219997878244882,132.05,聚合账户,已结算,否,2022-09-17 18:28:21,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,3,0,0,8,128,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 15:36:55,'4979220122436148745,'4979220122436148745,132.05,聚合账户,已结算,否,2022-09-17 18:31:25,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 15:36:54,'4979216347165541564,'4979216347165541564,132.05,聚合账户,已结算,否,2022-09-17 18:14:19,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 15:36:53,'4979216647813383912,'4979216647813383912,132.05,聚合账户,已结算,否,2022-09-17 18:14:31,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0.03,138.97,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 15:36:53,'4979223030143195025,'4979223030143195025,132.05,聚合账户,已结算,否,2022-09-17 18:40:43,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 15:36:52,'4979222849744000219,'4979222849744000219,132.05,聚合账户,已结算,否,2022-09-17 18:40:50,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 15:36:50,'4979223494000180927,'4979223494000180927,132.05,聚合账户,已结算,否,2022-09-17 18:44:25,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 20:18:39,'4977365126069313065,'4977365126069313065,132.05,聚合账户,已结算,否,2022-09-12 18:30:52,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-29 23:35:36,'4973655996599016497,'4973655996599016497,65.55,聚合账户,已结算,否,2022-09-02 18:39:42,'3568431661827946174,1,鲁班广告,普通订单,69,69,0,0,0,0,0,0,0.01,68.99,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-29 23:35:25,'4980340718054999811,'4980340718054999811,132.05,聚合账户,已结算,否,2022-09-20 18:58:00,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.01,0,138.99,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-30 01:00:02,'4978853718772235377,'4978853718772235377,132.05,微信,已结算,否,2022-09-16 18:49:25,'3570308912643195421,1,小店自卖,普通订单,139,139,0,0,0,3,0,0,0,136,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-30 12:15:51,'4978846683624332399,'4978846683624332399,141.55,聚合账户,已结算,否,2022-09-16 18:18:51,'3569537424679927567,1,小店自卖,普通订单,149,149,0,0,0,0,0,0,0,149,149,-7.45,0,0,0,0,0,,-7.45,
2022-09-30 15:08:20,'4978766883127653684,'4978766883127653684,65.55,聚合账户,已结算,否,2022-09-16 13:06:13,'3562291090973424419,1,精选联盟,普通订单,69,69,0,0,0,0,0,0,0,69,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-30 15:08:18,'4977740613577098503,'4977740613577098503,132.05,聚合账户,已结算,否,2022-09-13 18:48:53,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-30 17:46:37,'4976578296675733164,'4976578296675733164,65.55,聚合账户,已结算,否,2022-09-10 15:33:59,'3564157303907344746,1,小店自卖,普通订单,69,69,0,0,0,0,0,0.24,0,68.76,69,-3.45,0,0,0,0,0,,-3.45,
2022-10-01 03:16:08,'4981470796975361054,'4981470796975361054,47.4,微信,已结算,否,2022-09-23 20:00:09,'3573241853509814561,1,小店自卖,普通订单,49.9,49.9,0,0,0,0,0,0,0,49.9,49.9,-2.5,0,0,0,0,0,,-2.5,
2022-10-01 03:13:22,'4978101940593762087,'4978101940593762087,141.55,微信,已结算,否,2022-09-14 18:09:52,'3569537424679927567,1,小店自卖,普通订单,149,149,0,0,0,0,0,0,0,149,149,-7.45,0,0,0,0,0,,-7.45,
2022-10-01 12:18:08,'4978110066663898487,'4978110066663898487,141.55,聚合账户,已结算,否,2022-09-14 18:42:26,'3569537424679927567,1,小店自卖,普通订单,149,149,0,0,0,0,0,0.02,0,148.98,149,-7.45,0,0,0,0,0,,-7.45,
2022-10-01 15:48:36,'4980328705034790436,'4980328705034790436,132.05,聚合账户,已结算,否,2022-09-20 18:10:42,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-01 17:59:18,'4979225065949936861,'4979225065949936861,132.05,聚合账户,已结算,否,2022-09-17 18:47:20,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.07,0,138.93,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-01 18:15:41,'4972926174286071061,'4972926174286071061,132.05,聚合账户,已结算,否,2022-08-31 19:24:40,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
