结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,用户实付,收入合计,平台服务费,佣金,渠道分成,招商服务费,直播间站外推广,其他分成,其他分成说明,支出合计,备注
 , , ,收入+支出, , , , , , , , ,商品总价+运费, , , ,退给用户的货款+运费+退补贴, , , , , ,用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴,'-(用户实付+平台补贴+达人补贴)*费率,'-(用户实付-运费+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴)*费率, , , ,除“佣金、渠道分成、招商服务费、直播间站外推广”等账单中已分列展示之外的分成项目, ,平台服务费+达人佣金+渠道分成+招商服务费+直播站外推广+其他分成, 
2022-09-15 02:50:30,'4974400099683675210,'4974400099683675210,132.05,微信,已结算,否,2022-09-04 18:46:08,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 02:48:58,'4973287716043962156,'4973287716043962156,132.05,微信,已结算,否,2022-09-01 18:50:21,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 02:46:34,'4973305561640396144,'4973305561640396144,132.05,微信,已结算,否,2022-09-01 19:55:16,'3568614350375808534,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 05:02:47,'4967722409114263349,'4967722409114263349,65.55,微信,已结算,否,2022-08-17 18:48:10,'3562294316670045829,1,精选联盟,普通订单,69,69,0,0,0,0,0,0,0,69,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-15 05:02:00,'4974045228039718820,'4974045228039718820,65.55,微信,已结算,否,2022-09-03 19:46:37,'3568431661827946174,1,小店自卖,普通订单,69,69,0,0,0,0,0,0,0,69,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-15 05:01:34,'4974030410391215624,'4974030410391215624,132.05,微信,已结算,否,2022-09-03 18:51:18,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 07:56:22,'4974412911588386296,'4974412911588386296,132.05,聚合账户,已结算,否,2022-09-04 19:29:08,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 09:50:05,'4971421664428592677,'4971421664428592677,65.55,聚合账户,已结算,否,2022-08-27 18:06:53,'3562792515713237221,1,精选联盟,普通订单,69,69,0,0,0,0,0,0,0,69,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-15 10:00:29,'4968104923350484527,'4968104923350484527,75.05,聚合账户,已结算,否,2022-08-18 19:30:03,'3562291084673611549,1,精选联盟,普通订单,79,79,0,0,0,0.18,0,0.01,0,78.81,79,-3.95,0,0,0,0,0,,-3.95,
