订单号,子订单号,下单时间,订单收入(元),订单支出(元),订单净收益(元),结算状态,结算时间,业务类型,结算账户,订单类型,商品id,商品数量,订单总价(元),运费实付(元),商品总价(元),店铺券(元),订单实付(元),订单实付应结(元),平台补贴_运费(元),平台补贴(元),达人补贴(元),抖音支付补贴(元),抖音月付营销补贴(元),实际平台补贴_运费(元),实际平台补贴(元),实际达人补贴(元),实际抖音支付补贴(元),实际抖音月付营销补贴(元),实际补贴金额(元),订单退款(元),结算前退款(元),平台服务费(元),佣金(元),渠道分成(元),招商服务费(元),直播间站外推广(元),其他分成,退款扣佣金(元),备注
'4972997586715067591,'4972997586715067591,2022/9/1 0:01,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973290078270373660,'4973290078270373660,2022/9/1 18:59,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.89,138.89,0,0,0,0,0.11,0,0,0,0,0.11,0.11,0,0,-6.95,0,0,0,0,0,0,
'4973290555008722162,'4973290555008722162,2022/9/1 18:58,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973289498452862938,'4973289498452862938,2022/9/1 18:56,139,6.95,132.05,已结算,2022/9/12 21:05,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973289726085582274,'4973289726085582274,2022/9/1 18:56,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973289507040470159,'4973289507040470159,2022/9/1 18:56,139,6.95,132.05,已结算,2022/9/19 9:28,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973289644483913562,'4973289644483913562,2022/9/1 18:56,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0,-6.95,0,0,0,0,0,0,
'4973289189211581709,'4973289189211581709,2022/9/1 18:56,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973288948714065572,'4973288948714065572,2022/9/1 18:54,139,6.95,132.05,已结算,2022/9/15 15:02,小店自卖,聚合账户,普通订单,'3568614350375808534,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973288759725311797,'4973288759725311797,2022/9/1 18:53,139,6.95,132.05,已结算,2022/9/12 12:27,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
